"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USW00021504","HILO INTERNATIONAL AIRPORT 87, HI US","19.7191","-155.053","11.6","2020-02","73.6"
"US1HIHN0010","HONOLULU 2.7 SSE, HI US","21.284986","-157.781579","112.5","2020-02",
"USC00512982","KALOPA 216.8, HI US","20.0579","-155.432","396.2","2020-02",
"USC00516304","MILOLII 2.34, HI US","19.207","-155.8816","356.6","2020-02",
"USR0000HMOL","MOLOAA DAIRY HAWAII, HI US","22.1833","-159.3375","85.3","2020-02","72.1"
"US1HIHN0014","AIEA 0.7 ENE, HI US","21.3930397033691","-157.918579101563","175.0","2020-02",
"USC00519376","WAIKAPU 390, HI US","20.8536","-156.5088","147.2","2020-02",
"USC00518600","SEA MOUNTAIN 12.15, HI US","19.1335","-155.5113","24.4","2020-02",
"USC00518964","WAIAHOLE 837, HI US","21.4705","-157.8836","227.1","2020-02",
"USW00022534","MOLOKAI KAUNAKAKAI MOLOKAI AIRPORT, HI US","21.1545","-157.0961","135.0","2020-02","71.8"
"USR0000HPTA","PTA EAST HAWAII, HI US","19.6828","-155.5453","1959.9","2020-02","52.5"
"USW00022536","LIHUE WEATHER SERVICE OFFICE AIRPORT 1020.1, HI US","21.98389","-159.34056","30.5","2020-02","73.2"
"USR0000HKAN","KANELOA HAWAII, HI US","20.5222","-156.5658","248.4","2020-02","71.8"
"USR0000HPTW","PTA WEST HAWAII, HI US","19.7717","-155.7022","1307.6","2020-02","58.1"
"US1HIHI0071","VOLCANO 4.0 S, HI US","19.441359","-155.2487445","1194.8","2020-02",
"USC00511125","HANA AIRPORT 355, HI US","20.7947","-156.0154","22.9","2020-02","71.9"
"USC00513268","KAPALAMA 773, HI US","21.33889","-157.85806","187.1","2020-02",
"USC00516933","NUUANU RES 5 775, HI US","21.3387","-157.8367","125.0","2020-02",
"USR0000HPTK","PTA KIPUKA ALALA HAWAII, HI US","19.6669","-155.7078","1641.3","2020-02","54.7"
"USC00511925","HONOLULU FIRE STATION 703.1, HI US","21.3287","-157.9298","0.9","2020-02",
"USC00515286","LANAI CITY 672, HI US","20.8291","-156.9202","493.8","2020-02",
"USC00519523","WAIMANALO EXPERIMENTAL FARM, HI US","21.33556","-157.71139","19.5","2020-02","74.0"
"USC00518315","PUNA MACADAMIA 91.11, HI US","19.6158","-155.0838","243.8","2020-02",
"USC00511880","HONOKOHAU HARBOR 68.14, HI US","19.6787","-156.0214","9.1","2020-02",
"US1HIHI0068","KEAAU 5.5 E, HI US","19.613803","-154.955684","18.0","2020-02",
"US1HIMI0001","HAIKU 3.2 SE, HI US","20.876061","-156.304698","416.1","2020-02",
"US1HIMI0006","MAUNALOA 3.2 NNW, HI US","21.1804","-157.23191","93.0","2020-02",
"USC00516928","NUUANU RES 4 783, HI US","21.35278","-157.80778","307.8","2020-02",
"USR0000HKAH","KAHUKU TRAINING AREA HAWAII, HI US","21.6792","-157.9894","181.7","2020-02","71.0"
"US1HIMI0002","KAUNAKAKAI 3.5 ESE, HI US","21.068763","-156.962605","13.4","2020-02",
"USC00512960","KALIHI RES SITE 777, HI US","21.37528","-157.82222","277.4","2020-02",
"USC00514500","KII KAHUKU 911, HI US","21.6793","-157.9453","7.6","2020-02","71.5"
"USC00516128","MANOA LYON ARBO 785.2, HI US","21.3331","-157.8025","152.4","2020-02","69.5"
"USR0000HKII","KII HAWAII, HI US","21.6883","-157.9525","1.5","2020-02","73.1"
"USC00515715","MAHINAHINA 466, HI US","20.9594","-156.6505","256.6","2020-02",
